timestamp x y z vx vy vz x1 y1 z1 vx1 vy1 vz1 x2 y2 z2 vx2 vy2 vz2 x3 y3 z3 vx3 vy3 vz3 dLx dLy dLz taux tauy tauz margin x_sp y_sp z_sp vx_sp vy_sp vz_sp q_sp1x q_sp1y q_sp1z q_sp2x q_sp2y q_sp2z q_sp3x q_sp3y q_sp3z 
81754091 -1.77709 -0.200075 -0.0327091 0.000786781 0.00015378 0.000111312 -0.647707 -0.15426 -0.178031 0.0034833 -0.0176829 -0.00122666 -2.29777 0.841067 -0.165399 0.000371933 0.0022459 -0.00131428 -2.29446 -1.17299 -0.174443 -0.00935555 7.15256e-05 0.00389993 0.320163 -0.425231 -4.87662 -6.2027 -6.85673 -7 -0.00113958 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
81804095 -1.77708 -0.200105 -0.032687 0.000729561 -0.00347793 0.00503987 -0.647622 -0.154287 -0.17805 0.0176883 -0.0246924 -0.020442 -2.2978 0.841063 -0.16536 -0.0109577 -0.000572205 -0.00365496 -2.29442 -1.17293 -0.174445 0.000228882 0.00440598 -0.00784993 0.320401 -0.431015 -4.8688 -6.20419 -6.85957 -7 -0.00416873 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
81853966 -1.7771 -0.200198 -0.0327948 -0.00135899 -0.00932693 -0.0102255 -0.647634 -0.154288 -0.178053 0.000593662 -0.00585437 -0.000666976 -2.29778 0.841074 -0.165378 -0.00975609 -0.00115871 -0.00536799 -2.29444 -1.17302 -0.174468 -0.00746727 -0.00472069 -0.0061208 0.317301 -0.439866 -4.89189 -6.20402 -6.87099 -7 0.00629501 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
81903973 -1.77709 -0.200105 -0.0327006 5.72205e-05 0.000295043 0.000742078 -0.6477 -0.154118 -0.178017 0.00728846 -0.00224769 -0.0154352 -2.2977 0.841109 -0.165322 -0.00303268 0.0023818 0.00165582 -2.29437 -1.17298 -0.174429 0.00658035 0.00430584 0.0022763 0.319428 -0.425279 -4.87614 -6.20178 -6.85553 -7 -0.00202634 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
81953974 -1.7771 -0.20008 -0.0327101 -0.00141621 -0.000298619 0.00265762 -0.647644 -0.154255 -0.17807 -0.00256062 -0.0183481 -0.0345075 -2.2977 0.841092 -0.165323 0.0109863 0.000114441 0.00680387 -2.29441 -1.17292 -0.174425 0.00208855 0.0138044 0.00415564 0.318211 -0.426852 -4.87198 -6.20348 -6.85708 -7 -0.00355778 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82003976 -1.77708 -0.200104 -0.0327005 0.0119877 -0.00125706 -0.00224903 -0.647678 -0.15423 -0.178052 -0.00623703 -0.000164509 0.00316858 -2.2978 0.84105 -0.165353 -0.00317574 -0.00237465 0.00422359 -2.29439 -1.17298 -0.174405 0.00125885 -0.00374794 0.00184894 0.338361 -0.428287 -4.87962 -6.19436 -6.8587 -7 -0.000709699 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82053974 -1.77707 -0.200071 -0.0327051 -0.0561762 0.0179887 -0.0222605 -0.647668 -0.154224 -0.178051 -0.00251055 0.000879765 0.00232816 -2.2978 0.841054 -0.165393 -0.00145912 -0.00123739 -4.82798e-05 -2.29444 -1.17304 -0.174449 -0.000629425 -0.00298977 9.47714e-05 0.236153 -0.399345 -4.91023 -6.23538 -6.85741 -7 0.0179949 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82103977 -1.77711 -0.20009 -0.0326964 -0.00281811 9.29832e-05 0.00615031 -0.647604 -0.154274 -0.17806 0.00885487 -0.00325084 -0.0027895 -2.29778 0.841058 -0.1654 -0.00892639 -0.00622272 -0.00935018 -2.2944 -1.17298 -0.174394 -0.00297546 -0.00291824 0.00222266 0.315899 -0.426152 -4.86766 -6.20483 -6.85692 -7 -0.00514724 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82153985 -1.77712 -0.200191 -0.0327922 0.00443459 -0.0108147 -0.0181255 -0.647628 -0.154306 -0.178051 0.00234604 -0.00680208 0.0023818 -2.29769 0.841086 -0.165332 0.0114441 0.00351191 0.00793219 -2.29441 -1.17301 -0.174502 0.000600815 0.0033617 -0.00463665 0.329662 -0.445219 -4.90054 -6.1958 -6.87951 -7 0.0102008 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82203984 -1.77718 -0.200179 -0.0328135 -0.00746727 -0.00480473 -0.0138362 -0.647816 -0.154048 -0.177888 -0.00946283 0.0102961 0.000373721 -2.29771 0.841086 -0.165344 0.00955582 0.00281811 0.00463307 -2.29442 -1.17303 -0.174464 -0.00357628 -0.00274658 -0.00614405 0.311962 -0.436214 -4.89496 -6.2041 -6.86725 -7 0.00612129 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82253964 -1.77692 -0.200003 -0.032442 0.0209141 0.0125492 0.0287931 -0.647501 -0.154202 -0.177954 0.0196624 0.00217617 0.0091821 -2.29779 0.841081 -0.165381 -0.011816 -0.00243187 -0.00519097 -2.2944 -1.17298 -0.174438 -0.000743866 0.00771046 0.0020349 0.356333 -0.41146 -4.82868 -6.18359 -6.84804 -7 -0.0238518 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82303985 -1.77713 -0.200187 -0.0327606 -0.00749588 -0.00868499 -0.00656024 -0.647667 -0.154247 -0.178062 -0.00327587 0.000602603 0.0011766 -2.29772 0.841076 -0.16531 0.00892639 -0.00152349 0.00661075 -2.2944 -1.17296 -0.174402 0.00400543 -0.00231743 -0.00171483 0.314787 -0.444179 -4.8804 -6.20831 -6.86724 -7 0.00105918 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82354086 -1.77713 -0.200156 -0.0327918 -0.00536442 -0.00597239 -0.0103582 -0.647836 -0.154053 -0.17789 -0.0353694 0.00204384 0.00741184 -2.29769 0.841104 -0.165326 0.0139904 0.0090909 0.00702202 -2.29438 -1.17296 -0.174379 -0.00200272 0.00177383 0.00529289 0.317299 -0.440116 -4.89042 -6.20389 -6.86713 -7 0.00385655 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82404060 -1.77707 -0.200103 -0.0327028 0.00171661 -0.000445247 -0.00221372 -0.647794 -0.154032 -0.17787 -0.0050211 0.0037998 0.000330806 -2.29778 0.841089 -0.16538 -0.000457764 0.00374794 0.000910163 -2.29439 -1.17295 -0.174469 0.00529289 0.0083971 -0.00277698 0.328294 -0.431755 -4.87787 -6.19947 -6.85893 -7 -0.00126978 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82454084 -1.77708 -0.200081 -0.0327322 0.00102997 0.0029093 -0.0068602 -0.647658 -0.154234 -0.178047 -0.00103712 0.00259638 0.00531971 -2.2978 0.841099 -0.165386 -0.00160217 0.00356913 0.000448823 -2.29442 -1.173 -0.1744 0.00552177 -0.00173092 0.00466704 0.327979 -0.427104 -4.88394 -6.19838 -6.85937 -7 0.00143238 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82504132 -1.7771 -0.200111 -0.03268 0.00243187 0.00229776 -0.000923574 -0.64771 -0.154156 -0.178052 0.0123882 0.0094682 0.00100672 -2.29779 0.84106 -0.165379 -0.0117874 -0.00304699 -0.00543058 -2.2944 -1.17295 -0.174422 0.000314713 0.0171089 0.000656247 0.330075 -0.428001 -4.8751 -6.19801 -6.8576 -7 -0.00194612 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82554142 -1.7771 -0.200098 -0.0326671 -0.00153065 -0.00450253 0.00142291 -0.647745 -0.154092 -0.177902 -0.00919819 0.00660181 0.0185716 -2.29778 0.841044 -0.165395 0.00283241 0.000214577 -0.000216365 -2.29442 -1.173 -0.174454 -0.00400543 0.000243187 -0.00696123 0.324343 -0.438432 -4.87113 -6.20316 -6.86285 -7 -0.00293819 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82604004 -1.77713 -0.200155 -0.0327924 -0.00676632 -0.00571489 -0.0115272 -0.647659 -0.154159 -0.17808 0.00370502 -0.0015378 -0.00502288 -2.29777 0.841081 -0.165375 -0.0092411 -0.001688 -0.00549853 -2.29441 -1.17307 -0.174423 0.000543594 -0.00396252 0.00304341 0.316422 -0.440311 -4.89084 -6.20443 -6.8702 -7 0.00565655 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82654007 -1.77712 -0.200119 -0.032723 0.00662327 0.000293255 -0.00560805 -0.647671 -0.154218 -0.178047 -0.000429153 -0.0273299 -0.0304466 -2.29779 0.841059 -0.165384 0.00117302 0.000886917 -0.00410736 -2.29444 -1.17305 -0.174434 0.000629425 -0.00479221 -0.00113189 0.336532 -0.431134 -4.88238 -6.19493 -6.86081 -7 0.000781919 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82704100 -1.77708 -0.20011 -0.0327013 0.00401974 -0.00286639 0.00154942 -0.647821 -0.154052 -0.177877 -0.0189829 -0.00735819 -0.0111723 -2.29768 0.841079 -0.1653 0.0135326 0.00330448 0.00650704 -2.29444 -1.17303 -0.174402 -0.00377655 -0.00067234 0.00236928 0.333629 -0.436518 -4.8704 -6.19761 -6.86104 -7 -0.00569656 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82754014 -1.77708 -0.200106 -0.0326992 0.00802517 -0.00167727 -0.00513285 -0.647673 -0.154168 -0.178038 0.0125384 -0.0159287 -0.0151795 -2.29771 0.841091 -0.165317 0.0111866 0.00302553 0.00711322 -2.29442 -1.17306 -0.174437 0.00311852 -0.00409126 0.00336349 0.339633 -0.434829 -4.88008 -6.19448 -6.86172 -7 -0.000266937 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82804011 -1.77713 -0.200108 -0.0327192 -0.00397682 -0.00358522 -0.00159636 -0.647704 -0.154159 -0.178046 -0.0178313 -0.0078553 -0.0129336 -2.29781 0.841031 -0.16537 -0.00177383 -0.00483513 0.00179529 -2.29444 -1.17303 -0.174442 -0.00658035 -0.000257492 0.00270545 0.321457 -0.43753 -4.87565 -6.20455 -6.86295 -7 -0.000965377 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82854014 -1.77716 -0.200076 -0.0326917 -0.00792503 -0.000168085 0.00114262 -0.647549 -0.154109 -0.17795 0.0302052 -0.00322402 -0.0110596 -2.29778 0.841063 -0.16538 -0.0101852 -0.00489235 -0.00635505 -2.29447 -1.173 -0.174535 -0.0061512 -0.00496387 -0.0164223 0.315311 -0.432323 -4.87141 -6.20574 -6.85947 -7 -0.00278758 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82904017 -1.77711 -0.200102 -0.0326703 -0.00326157 -0.00589907 9.56655e-05 -0.647787 -0.15401 -0.177894 0.0182676 0.0205261 0.00977397 -2.29783 0.841105 -0.165458 -0.0067234 0.00347614 -0.00796795 -2.29444 -1.17303 -0.174439 -0.00214577 -0.00715256 -0.00534654 0.322401 -0.440809 -4.87303 -6.20453 -6.86381 -7 -0.00162743 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
82954018 -1.77709 -0.200093 -0.0327315 -0.00236034 0.00195622 -0.00353023 -0.647647 -0.154229 -0.178078 -0.0123525 -0.011977 -0.0132143 -2.2978 0.841058 -0.16538 -0.00884056 -0.00696659 -0.00827551 -2.29435 -1.173 -0.17442 0.0137615 -0.00675201 0.00593662 0.323926 -0.428955 -4.87892 -6.20131 -6.85906 -7 -0.000321471 -2 0 -0.3 0 0 0 -0.881134 -0.00591788 0.472829 0.441173 -0.762157 0.473796 0.434925 0.761096 0.48122 
